"OBJECTID","REGIONNAME","WOREDANO_","WOREDANAME","woreda_id","Woredda_ID","area_ha","objectid_1","luc_ha1198","luc_ha2198","luc_ha3198","luc_ha4198","luc_ha5198","luc_ha6198","luc_ha7198","luc_ha8198","luc_ha9198","luc_ha1019","luc_ha1201","luc_ha2201","luc_ha3201","luc_ha4201","luc_ha5201","luc_ha6201","luc_ha7201","luc_ha8201","luc_ha9201","luc_ha1020","r_name","woredana_1","area_ha_1","area_wt","elev_mean","elev_media","lowland","ndvi_8286","ndvi_1216","metrics","osm_download_link"
515,"Oromia","041809","Gidami",41809,0,198082.912802,515,68.8327255249,46.679523468,44.2541656494,11.715385437,23.0692214966,0.406687438488,2.8832719326,0,0,0.241926416755,58.3927574158,35.1147460938,36.4778289795,25.121723175,41.319568634,0.00369499577209,1.03718531132,0,0,0.615401566029,"Oromia","Gidami",198082.90625,198082,1000.75933838,779.422668457,"Lowland",0.236421123147,0.247216567397,"{}","http://127.0.0.1:8111/load_and_zoom?left=34.13949814105362&bottom=8.65118293097025&right=34.654981863545366&top=9.16334967788172"
515,"Oromia","041809","Gidami",41809,0,198082.912802,515,68.8327255249,46.679523468,44.2541656494,11.715385437,23.0692214966,0.406687438488,2.8832719326,0,0,0.241926416755,58.3927574158,35.1147460938,36.4778289795,25.121723175,41.319568634,0.00369499577209,1.03718531132,0,0,0.615401566029,"Oromia","Gidami",198082.90625,198082,1000.75933838,779.422668457,"Lowland",0.236421123147,0.247216567397,"{}","http://127.0.0.1:8111/load_and_zoom?left=34.13949814105362&bottom=8.65118293097025&right=34.654981863545366&top=9.16334967788172"
258,"Afar","020207","Afdera",20207,20207,774442.688355,258,0.0126247247681,0,19.7682151794,0,0.346510440111,741.909851074,0,12.4029312134,0.00258233002387,0,0.0126248290762,0,7.65992355347,0,1.88262975216,752.738586426,0,12.1489114761,0,0,"Afar","Afdera",774442.6875,774442,83.004196167,35.4606895447,"Lowland",0.0647993311286,0.0462532937527,"{""landuse_farm"":46,""area_landuse_farm"":20.069369019601616}","http://127.0.0.1:8111/load_and_zoom?left=40.18059483676938&bottom=12.942963548505823&right=41.495716227073494&top=13.789427511978664"
516,"Oromia","041807","Anfilo",41807,0,144336.854664,516,82.9474411011,24.9060649872,17.5368976593,5.64099788666,13.0662002563,0.142485737801,0,0,0,0.0967723354697,63.9383621216,22.3059520721,21.1241264343,22.9047470093,13.466999054,0.00138246896677,0,0,0,0.595291137695,"Oromia","Anfilo",144336.859375,144336,1183.50939941,1159.47363281,"Lowland",0.24650940299,0.246022820473,"{}","http://127.0.0.1:8111/load_and_zoom?left=34.31242902281406&bottom=8.376647332754299&right=34.729832531120486&top=8.78041951213676"
259,"Afar","020201","Erebti",20201,20201,260734.447197,259,0.0960896685719,0.660592615604,53.9171943665,0,1.5962729454,204.464309692,0,0,0,0,0.0961843803525,0.660491526127,25.6656589508,0,4.95765018463,229.35446167,0,0,0,0,"Afar","Erebti",260734.453125,260734,329.91583252,251.541137695,"Lowland",0.0768793597817,0.0613460540771,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.150923589834434&bottom=12.870633450658985&right=40.756746744606474&top=13.407101865298545"
517,"Oromia","040312","Bure",40312,0,110440.633327,517,31.2333564758,33.7013092041,12.69099617,18.7191295624,13.7842388153,0.252527803183,0,0,0,0.0590767562389,41.2562675476,27.0871086121,7.15443849564,25.8976516724,8.85862731934,0.0890295729041,0,0,0,0.0975085794926,"Oromia","Bure",110440.632813,110440,1363.47412109,1379.51086426,"Lowland",0.280712068081,0.309495359659,"{}","http://127.0.0.1:8111/load_and_zoom?left=34.95721218781519&bottom=8.074315488654971&right=35.3004551942978&top=8.483078838496885"
260,"Afar","020102","Elidar",20102,20102,1228219.4249,260,0.698108077049,0,19.1357784271,0,53.1540756226,1148.83300781,6.39836072922,0,0,0,0.700572013855,0,39.0094985962,0,54.80311203,1132.53198242,1.17415678501,0,0,0,"Afar","Elidar",1228219.375,1228219,451.136352539,451.465606689,"Lowland",0.0887974947691,0.0779638290405,"{""landuse_farm"":1,""area_landuse_farm"":85.69929422587253}","http://127.0.0.1:8111/load_and_zoom?left=41.10896680886108&bottom=11.64571967959962&right=42.35479204226559&top=13.083203158355538"
518,"Oromia","041805","Sayo",41805,0,105973.517637,518,30.4943618774,23.7989349365,15.7124042511,16.7624835968,18.4694519043,0.396602839231,0,0,0,0.339273780584,25.6450214386,12.8222341537,18.8424930573,27.7824134827,20.0269126892,0.00921726878732,0,0.000460863433545,0,0.84476262331,"Oromia","Sayo",105973.515625,105973,1448.00134277,1459.5526123,"Lowland",0.263170748949,0.281353712082,"{}","http://127.0.0.1:8111/load_and_zoom?left=34.652060664412325&bottom=8.247346959202899&right=34.99182251321774&top=8.69746932914788"
261,"Afar","020403","Teru",20403,20403,386519.380604,261,2.18145513535,0.00732478825375,103.558616638,0,7.6830368042,273.088928223,0,0,0,0,2.18110084534,0.00732391746715,55.3044242859,5.35587644577,9.12512588501,314.545532227,0,0,0,0,"Afar","Teru",386519.375,386519,519.673217773,451.389892578,"Lowland",0.099201798439,0.095767326653,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.064170121675524&bottom=12.287544503279454&right=40.68113383315657&top=13.012311910209798"
262,"Afar","020101","Dubti",20101,20101,643736.211597,262,4.85147333145,2.82045245171,25.732881546,0.00472770212218,83.5941848755,509.57913208,14.4654445648,2.50984239578,0,0.178045257926,3.37548232079,2.23701334,22.9591884613,0,87.3192138672,523.916870117,1.00463140011,2.16716861725,0,0.756588280201,"Afar","Dubti",643736.1875,643736,475.39263916,427.492584229,"Lowland",0.0944491624832,0.0955464690924,"{""landuse_farm"":1,""area_landuse_farm"":84.39091811606609,""landuse_industrial"":1,""area_landuse_industrial"":0.024991729443149334}","http://127.0.0.1:8111/load_and_zoom?left=40.68742108703286&bottom=10.9578529788214&right=41.48983258086445&top=12.32128093522846"
